Wall time,Step,Value
1698847217.6233757,1062,41.0
1698847226.1364882,2478,38.0
1698847226.390969,2655,32.0
1698847227.3686326,3304,50.0
1698847229.0971167,4189,39.0
1698847229.56568,4366,43.0
1698847232.5778377,5546,38.0
1698847244.2359424,9145,53.0
1698847244.9244046,9322,36.0
1698847246.8508325,9853,37.0
1698847265.3118656,13511,67.0
1698847267.3160264,13806,42.0
1698847276.7775865,15045,22.0
1698847279.155745,15340,50.0
1698847282.8105063,15753,58.0
1698847285.5882242,16107,23.0
1698847303.7285132,18172,36.0
1698847304.7817972,18290,50.0
1698847309.6927555,18762,31.0
1698847328.8574727,20473,40.0
1698847341.9807017,21653,50.0
1698847381.3833606,24839,40.0
1698847382.0492105,24898,40.0
1698847397.0324798,26078,22.0
1698847412.1640644,27140,43.0
1698847414.5426838,27317,34.0
1698847415.1717567,27376,60.0
1698847423.839103,27966,46.0
1698847465.5738757,31624,55.0
1698847479.4654553,33217,37.0
1698847488.2461991,34161,42.0
1698847492.2231483,34574,18.0
1698847492.7587333,34633,41.0
1698847509.9017985,36580,47.0
1698847517.386437,37406,26.0
1698847521.5273905,37878,39.0
1698847524.028287,38173,33.0
1698847525.2698507,38291,32.0
1698847531.4615998,38999,59.0
1698847536.3958387,39589,33.0
1698847558.8573773,42126,45.0
1698847562.7996418,42598,51.0
1698847566.9661584,43070,63.0
1698847580.6420388,44604,56.0
1698847585.109932,45135,45.0
1698847587.4020565,45371,41.0
1698847588.3825715,45489,40.0
1698847595.6251793,46315,38.0
1698847596.6236045,46433,43.0
1698847599.7816818,46728,52.0
1698847600.888385,46846,27.0
1698847604.5521564,47318,43.0
1698847607.311348,47672,46.0
1698847607.7694054,47731,23.0
1698847621.3353298,49324,53.0
1698847658.8555758,53513,23.0
1698847659.7177265,53631,45.0
1698847676.5344996,55578,35.0
1698847677.925865,55755,26.0
1698847686.0026622,56758,47.0
1698847690.690576,57289,61.0
1698847691.2063322,57348,54.0
1698847694.1687684,57702,34.0
1698847694.633812,57761,43.0
1698847697.317265,58056,44.0
1698847706.4659312,59118,29.0
1698847707.866906,59295,35.0
1698847712.4329872,59826,38.0
1698847738.6270838,62717,37.0
1698847740.1356966,62894,17.0
1698847743.1821408,63248,6.0
1698847746.4542828,63602,44.0
1698847748.6317246,63897,33.0
1698847753.8098354,64487,52.0
1698847757.0145488,64841,39.0
1698847759.2829611,65136,23.0
1698847785.604851,68204,29.0
1698847788.0341146,68499,46.0
1698847788.5439563,68558,33.0
1698847797.8982482,69620,62.0
1698847804.8539994,70387,32.0
1698847811.2555509,71154,51.0
1698847831.1779726,73396,33.0
1698847839.5218596,74399,56.0
1698847849.0180612,75579,23.0
1698847856.10066,76346,62.0
1698847867.5328205,77644,37.0
1698847868.8903732,77821,47.0
1698847874.7977138,78470,36.0
1698847876.5379663,78647,50.0
1698847878.6289213,78883,31.0
1698847903.0299237,81715,41.0
1698847906.0536187,82069,33.0
1698847906.533038,82128,40.0
1698847917.7048228,83426,48.0
1698847924.0460901,84134,36.0
1698847929.0773733,84724,47.0
1698847943.8883176,86494,18.0
1698847949.9252088,87143,31.0
1698847954.3189058,87615,45.0
1698847957.375549,87969,47.0
1698847974.3321428,89857,36.0
1698847976.6847122,90093,48.0
1698847989.1136427,91568,49.0
1698847997.2007937,92512,54.0
1698847997.6962247,92571,50.0
1698848005.6862078,93456,42.0
1698848007.6307743,93692,62.0
1698848016.1395228,94695,14.0
1698848035.094576,96760,40.0
1698848039.3984392,97232,29.0
1698848049.5278866,98412,37.0
1698848056.515654,99238,38.0
1698848061.424673,99769,15.0
1698848071.0895555,100123,58.0
1698848080.4184744,100418,48.0
1698848093.8628802,100831,58.0
1698848110.7171302,101362,47.0
1698848137.0027862,102188,62.0
1698848140.744647,102306,64.0
1698848146.8214202,102483,65.0
1698848163.4184635,103014,38.0
1698848218.9585395,104725,59.0
1698848230.7162375,105079,54.0
1698848276.2077048,106495,71.0
1698848314.1696982,107734,62.0
1698848341.4490635,108796,30.0
1698848354.1195085,109327,44.0
1698848373.2452443,110094,58.0
1698848377.3717859,110271,71.0
1698848390.4509895,110743,59.0
1698848450.3581462,113103,47.0
1698848475.5633733,114106,54.0
1698848491.4835665,114696,64.0
1698848496.1984944,114873,68.0
1698848524.9385612,116053,63.0
1698848547.7737563,116997,69.0
1698848574.4522946,118059,74.0
1698848592.8647304,118767,62.0
1698848617.7558641,119770,58.0
1698848626.5212452,120124,49.0
1698848663.5018642,121540,69.0
1698848682.3309047,122307,64.0
1698848687.203229,122484,61.0
1698848688.861152,122543,52.0
1698848699.9985068,123015,57.0
1698848706.6450646,123251,77.0
1698848717.2769866,123664,56.0
1698848788.9774144,126555,55.0
1698848795.1602223,126791,62.0
1698848805.0153344,127204,70.0
1698848818.3204558,127735,67.0
1698848851.354376,129033,76.0
1698848857.3814526,129269,39.0
1698848869.6040735,129741,69.0
1698848882.0095909,130213,84.0
1698848888.2286665,130449,58.0
1698848918.1367867,131629,65.0
1698848925.333303,131924,78.0
1698848926.9119542,131983,74.0
1698848934.3200438,132278,77.0
1698848952.4598906,132986,62.0
1698848956.4682631,133163,72.0
1698848963.976268,133458,56.0
1698848991.3707614,134579,59.0
1698849015.859428,135523,58.0
1698849030.9733973,136113,67.0
1698849049.7405152,136821,46.0
1698849089.9268146,138355,66.0
1698849103.1735437,138886,70.0
1698849153.8856711,140951,66.0
1698849155.486712,141010,71.0
1698849158.2545815,141128,69.0
1698849228.6203318,143724,67.0
1698849240.5121398,144196,67.0
1698849253.7471795,144727,71.0
1698849256.7291,144845,66.0
1698849263.6574006,145140,52.0
1698849300.7056034,146615,69.0
1698849302.347224,146674,65.0
1698849318.5067031,147264,62.0
1698849321.7302232,147382,65.0
1698849329.9683897,147677,60.0
1698849352.2248363,148503,63.0
1698849361.771046,148857,70.0
1698849377.5365028,149388,72.0
1698849400.432353,150273,37.0
1698849406.1333582,150509,56.0
1698849408.92586,150627,59.0
1698849446.853874,152102,58.0
1698849484.939198,153400,85.0
1698849494.7742972,153754,38.0
1698849520.8273635,154757,70.0
1698849530.4676986,155111,72.0
1698849571.6778336,156645,60.0
1698849607.8747733,158002,70.0
1698849619.138546,158415,49.0
1698849626.8174295,158710,75.0
1698849648.2357023,159477,59.0
1698849659.2119021,159890,59.0
1698849683.8277357,160775,64.0
1698849708.095252,161660,63.0
1698849731.0399961,162486,67.0
1698849787.3862247,164551,59.0
1698849788.9158566,164610,78.0
1698849790.48685,164669,40.0
1698849914.510205,169448,74.0
1698849927.0286613,169979,64.0
1698849939.4865391,170510,68.0
1698849947.9996748,170864,77.0
1698849985.8679461,172280,66.0
1698850060.153761,175053,77.0
1698850072.9161897,175525,78.0
1698850130.357024,177649,74.0
1698850156.0069191,178593,46.0
1698850160.6582015,178770,72.0
1698850173.4361632,179242,67.0
1698850177.8781152,179419,72.0
1698850216.6781478,180835,69.0
1698850222.5230763,181071,70.0
1698850270.8491163,182841,76.0
1698850306.9304202,184198,70.0
1698850330.6527858,185083,64.0
1698850359.310151,186145,74.0
1698850369.1459863,186499,59.0
1698850394.8216786,187443,57.0
1698850422.8325953,188505,74.0
1698850424.160875,188564,69.0
1698850477.8189588,190570,73.0
1698850493.9966547,191160,69.0
1698850498.9678473,191337,52.0
1698850500.5456018,191396,45.0
1698850504.0575542,191514,72.0
1698850505.9666057,191573,66.0
1698850546.0266392,193048,55.0
1698850600.448155,194995,78.0
1698850637.9094598,196352,66.0
1698850664.9741848,197355,82.0
1698850715.0415878,199184,71.0
1698850757.8506327,200777,57.0
1698850765.0979447,201072,74.0
1698850802.204036,202370,51.0
1698850833.5647497,203491,84.0
1698850836.5610952,203609,56.0
1698850858.0047956,204376,53.0
1698850885.0110178,205320,82.0
1698850930.997731,207031,45.0
1698850935.5507014,207208,69.0
1698850974.6312716,208683,66.0
1698851015.8361406,210217,65.0
1698851042.429801,211220,62.0
1698851074.9566402,212400,84.0
1698851104.8293338,213462,77.0
1698851108.1419125,213580,58.0
1698851111.092508,213698,72.0
1698851120.6880805,214052,68.0
1698851166.9705436,215704,71.0
1698851190.5818453,216530,48.0
1698851281.5148993,219834,64.0
1698851287.4622297,220070,63.0
1698851301.3197336,220542,59.0
1698851305.971967,220719,64.0
1698851355.1262717,222548,78.0
1698851369.308048,223020,78.0
1698851390.8988879,223787,77.0
1698851399.4100244,224082,76.0
1698851426.674684,225026,76.0
1698851434.794473,225321,70.0
1698851437.8260312,225439,65.0
1698851453.9859486,226029,76.0
1698851459.8784757,226265,71.0
1698851502.4252274,227976,74.0
1698851520.946475,228684,74.0
1698851595.1578004,231752,78.0
1698851605.6898775,232165,69.0
1698851611.9108458,232401,59.0
1698851629.9989045,233050,67.0
1698851639.2027726,233404,84.0
1698851648.2354147,233758,59.0
1698851682.9591742,235056,78.0
1698851725.1061785,236531,59.0
1698851726.9298291,236590,52.0
1698851745.4156184,237298,80.0
1698851763.615516,237947,67.0
1698851768.5506527,238124,82.0
1698851860.083583,241487,72.0
1698851868.0190678,241782,68.0
1698851869.3876162,241841,78.0
