Wall time,Step,Value
1698847681.4534125,45,-1.0
1698847681.683653,162,-1.0
1698847681.7463639,216,1.0
1698847684.3205996,360,-1.0
1698847684.3490498,378,-1.0
1698847686.0888355,405,-1.0
1698847686.3077824,477,-1.0
1698847688.8859584,504,-1.0
1698847689.2098649,639,-1.0
1698847689.2518117,666,-1.0
1698847689.7440305,846,1.0
1698847689.983385,918,-1.0
1698847690.0589876,945,1.0
1698847690.0693398,954,-1.0
1698847690.2793365,1017,-1.0
1698847690.6164846,1134,1.0
1698847691.0510156,1251,-1.0
1698847691.4104354,1350,-1.0
1698847691.63937,1395,-1.0
1698847691.6862004,1422,1.0
1698847692.0303473,1503,1.0
1698847692.0561202,1512,-1.0
1698847692.3872845,1602,-1.0
1698847692.6154153,1647,-1.0
1698847692.756717,1665,-1.0
1698847692.7835617,1674,-1.0
1698847692.894611,1710,-1.0
1698847693.1566367,1782,-1.0
1698847693.469384,1854,1.0
1698847693.5334377,1863,-1.0
1698847693.637885,1908,-1.0
1698847694.1163847,2007,-1.0
1698847694.2869892,2061,1.0
1698847694.5579002,2106,-1.0
1698847694.713504,2133,1.0
1698847695.2109528,2241,-1.0
1698847695.4965904,2295,-1.0
1698847695.655099,2340,-1.0
1698847695.8690388,2403,-1.0
1698847695.9797258,2439,-1.0
1698847696.1137822,2457,-1.0
1698847697.1580613,2628,-1.0
1698847697.4275491,2673,-1.0
1698847697.435388,2682,-1.0
1698847697.7187395,2727,-1.0
1698847698.0305948,2772,-1.0
1698847698.1386342,2790,-1.0
1698847698.4826617,2862,1.0
1698847698.5345035,2871,-1.0
1698847699.0756183,2970,-1.0
1698847699.6639822,3051,1.0
1698847700.063831,3123,-1.0
1698847700.9787016,3267,-1.0
1698847701.1486893,3303,-1.0
1698847701.6959238,3393,-1.0
1698847704.3579226,3789,-1.0
1698847704.406366,3798,-1.0
1698847704.9127834,3870,-1.0
1698847705.4839127,3951,-1.0
1698847705.5777612,3969,-1.0
1698847705.6352787,3978,-1.0
1698847705.8196063,4005,-1.0
1698847706.2187476,4059,-1.0
1698847706.808273,4140,-1.0
1698847707.0498745,4167,-1.0
1698847707.1065552,4176,1.0
1698847707.6567593,4266,1.0
1698847708.9798226,4419,1.0
1698847709.1694922,4437,1.0
1698847710.184755,4563,-1.0
1698847710.532471,4608,-1.0
1698847710.7144022,4626,1.0
1698847710.938039,4653,-1.0
1698847711.7285461,4725,-1.0
1698847712.249333,4779,-1.0
1698847712.3606136,4797,-1.0
1698847712.6257899,4824,-1.0
1698847712.9970794,4878,-1.0
1698847713.3259978,4923,-1.0
1698847715.780444,5013,1.0
1698847718.97508,5067,-1.0
1698847721.9281695,5121,1.0
1698847724.1052663,5157,-1.0
1698847727.3746252,5211,-1.0
1698847728.4297018,5229,-1.0
1698847729.9023695,5256,-1.0
1698847731.0229056,5274,-1.0
1698847731.5162735,5283,-1.0
1698847734.167463,5328,-1.0
1698847734.672808,5337,-1.0
1698847739.436758,5418,1.0
1698847743.4992335,5490,-1.0
1698847746.0346403,5535,-1.0
1698847748.6937234,5580,-1.0
1698847749.7201116,5598,-1.0
1698847756.106163,5706,-1.0
1698847759.5555134,5769,-1.0
1698847760.1505764,5778,-1.0
1698847761.2427218,5796,-1.0
1698847762.8546336,5823,-1.0
1698847763.8475275,5841,-1.0
1698847769.8626013,5949,1.0
1698847771.64561,5976,-1.0
1698847773.6384044,6012,-1.0
1698847775.1392224,6039,-1.0
1698847776.8227975,6066,1.0
1698847779.139498,6102,-1.0
1698847779.6521883,6111,-1.0
1698847781.7094767,6147,-1.0
1698847784.3923635,6192,-1.0
1698847790.6738358,6291,-1.0
1698847794.6132574,6354,-1.0
1698847798.878419,6426,-1.0
1698847800.9663491,6462,-1.0
1698847802.53091,6489,-1.0
1698847803.1599386,6498,-1.0
1698847803.751382,6507,-1.0
1698847807.6814482,6570,-1.0
1698847810.737675,6624,1.0
1698847812.4429798,6651,-1.0
1698847814.4857733,6687,-1.0
1698847816.4975462,6723,1.0
1698847818.504703,6759,-1.0
1698847819.04218,6768,-1.0
1698847821.2330415,6804,-1.0
1698847826.0025403,6885,-1.0
1698847828.065018,6921,-1.0
1698847828.5710552,6930,-1.0
1698847829.0242481,6939,-1.0
1698847829.9245734,6957,1.0
1698847830.4352667,6966,-1.0
1698847833.9504085,7020,-1.0
1698847836.425865,7056,1.0
1698847836.9637754,7065,-1.0
1698847837.9354103,7083,1.0
1698847840.8754067,7128,-1.0
1698847841.517824,7137,-1.0
1698847842.1514452,7146,1.0
1698847844.4945312,7182,-1.0
1698847846.661583,7218,1.0
1698847849.7165172,7263,1.0
1698847850.4171479,7272,-1.0
1698847851.081885,7281,-1.0
1698847863.6667595,7488,-1.0
1698847865.6624942,7524,-1.0
1698847866.933404,7542,-1.0
1698847870.1543608,7587,-1.0
1698847883.6759257,7803,-1.0
1698847885.0089943,7821,-1.0
1698847887.9426928,7866,-1.0
1698847889.1183312,7884,-1.0
1698847891.6567705,7920,1.0
1698847893.0188057,7938,-1.0
1698847897.6514692,8010,-1.0
1698847901.0914547,8064,1.0
1698847903.3634233,8100,1.0
1698847907.475737,8163,-1.0
1698847908.5767453,8181,1.0
1698847911.9824412,8235,-1.0
1698847913.0847874,8253,-1.0
1698847914.7769213,8280,-1.0
1698847916.5502818,8307,-1.0
1698847921.3942723,8379,-1.0
1698847921.9456327,8388,-1.0
1698847923.778962,8415,1.0
1698847927.6107113,8478,-1.0
1698847929.1953201,8505,-1.0
1698847934.2281876,8586,-1.0
