Wall time,Step,Value
1698841000.771893,45,-1.0
1698841000.873603,162,-1.0
1698841000.921646,216,-1.0
1698841005.0041854,360,-1.0
1698841007.4143093,378,1.0
1698841007.4448614,405,-1.0
1698841007.5381956,477,1.0
1698841007.5596561,504,-1.0
1698841007.7792475,639,-1.0
1698841007.800556,666,-1.0
1698841008.0627952,846,1.0
1698841008.1989498,918,-1.0
1698841008.231019,945,-1.0
1698841008.2818267,954,-1.0
1698841008.3603382,1017,-1.0
1698841008.6026363,1134,-1.0
1698841008.8127654,1251,1.0
1698841009.0133102,1350,-1.0
1698841009.1169395,1395,1.0
1698841009.1677334,1422,-1.0
1698841009.3358326,1503,-1.0
1698841009.3423822,1512,-1.0
1698841009.5998456,1602,-1.0
1698841009.6942093,1647,-1.0
1698841009.746468,1665,-1.0
1698841009.7543314,1674,1.0
1698841009.878724,1710,1.0
1698841010.0343988,1782,-1.0
1698841010.1807365,1854,-1.0
1698841010.2212136,1863,-1.0
1698841010.3261118,1908,-1.0
1698841010.5950842,2007,-1.0
1698841010.7300713,2061,-1.0
1698841010.8271143,2106,-1.0
1698841010.9221394,2133,-1.0
1698841011.1842976,2241,-1.0
1698841011.3117535,2295,-1.0
1698841011.423794,2340,1.0
1698841011.583145,2403,-1.0
1698841011.677853,2439,-1.0
1698841011.7312324,2457,-1.0
1698841012.3288424,2628,-1.0
1698841012.4950325,2673,-1.0
1698841012.5037987,2682,-1.0
1698841012.6399171,2727,-1.0
1698841012.7968247,2772,-1.0
1698841012.8574836,2790,-1.0
1698841013.082484,2862,1.0
1698841013.135713,2871,1.0
1698841013.528506,2970,1.0
1698841013.831026,3051,-1.0
1698841014.1333175,3123,-1.0
1698841014.7288742,3267,-1.0
1698841014.8465703,3303,1.0
1698841015.2500582,3393,1.0
1698841016.751039,3789,-1.0
1698841016.7593062,3798,-1.0
1698841017.0436482,3870,1.0
1698841017.3703969,3951,-1.0
1698841017.437688,3969,-1.0
1698841017.4981265,3978,-1.0
1698841017.6012506,4005,1.0
1698841017.8292522,4059,1.0
1698841018.3001914,4140,-1.0
1698841018.427578,4167,-1.0
1698841018.4749308,4176,-1.0
1698841018.9501417,4266,-1.0
1698841019.6703818,4419,-1.0
1698841019.7994773,4437,-1.0
1698841020.5660894,4563,-1.0
1698841020.8147686,4608,-1.0
1698841020.8923826,4626,-1.0
1698841021.113708,4653,-1.0
1698841021.511936,4725,1.0
1698841021.8616712,4779,1.0
1698841021.9430926,4797,-1.0
1698841022.128367,4824,-1.0
1698841022.4193935,4878,-1.0
1698841022.6712348,4923,-1.0
1698841024.3997734,5013,1.0
1698841026.4038117,5067,-1.0
1698841028.4792068,5121,1.0
1698841029.7340107,5157,-1.0
1698841031.5482621,5211,-1.0
1698841032.3099103,5229,1.0
1698841033.2731245,5256,-1.0
1698841034.0756726,5274,-1.0
1698841034.3890545,5283,-1.0
1698841036.0216503,5328,-1.0
1698841036.3539245,5337,-1.0
1698841038.954549,5418,-1.0
1698841041.8856504,5490,1.0
1698841043.578124,5535,-1.0
1698841045.270794,5580,-1.0
1698841045.95616,5598,-1.0
1698841050.138697,5706,-1.0
1698841052.995297,5769,1.0
1698841053.5203116,5778,-1.0
1698841054.265805,5796,-1.0
1698841055.4942362,5823,1.0
1698841056.220256,5841,-1.0
1698841060.6099129,5949,-1.0
1698841061.8881056,5976,1.0
1698841063.356385,6012,-1.0
1698841064.507326,6039,1.0
1698841065.783299,6066,-1.0
1698841067.2577858,6102,-1.0
1698841067.7196424,6111,1.0
1698841069.250909,6147,1.0
1698841071.229125,6192,-1.0
1698841075.6414762,6291,1.0
1698841078.1772645,6354,-1.0
1698841081.2080612,6426,-1.0
1698841082.7004936,6462,-1.0
1698841083.964479,6489,-1.0
1698841084.315829,6498,-1.0
1698841084.7815206,6507,-1.0
1698841087.559718,6570,-1.0
1698841089.9169133,6624,-1.0
1698841091.0822623,6651,-1.0
1698841092.6918654,6687,-1.0
1698841094.162208,6723,-1.0
1698841095.902945,6759,-1.0
1698841096.3307335,6768,-1.0
1698841097.8306718,6804,-1.0
1698841101.6520514,6885,-1.0
1698841103.1588645,6921,1.0
1698841103.5253212,6930,-1.0
1698841103.8845012,6939,1.0
1698841104.611713,6957,1.0
1698841104.9557085,6966,-1.0
1698841107.5703638,7020,1.0
1698841109.2123694,7056,1.0
1698841109.6691465,7065,-1.0
1698841110.4076219,7083,-1.0
1698841112.341043,7128,-1.0
1698841112.705417,7137,1.0
1698841113.1449165,7146,1.0
1698841114.7501945,7182,-1.0
1698841116.2666337,7218,1.0
1698841118.231023,7263,-1.0
1698841118.6057138,7272,-1.0
1698841119.0854912,7281,1.0
1698841128.265498,7488,-1.0
1698841129.7933166,7524,-1.0
1698841130.7103834,7542,-1.0
1698841132.680771,7587,-1.0
1698841142.9124043,7803,-1.0
1698841143.7000747,7821,-1.0
1698841145.575838,7866,-1.0
1698841146.365775,7884,-1.0
1698841147.895753,7920,-1.0
1698841148.677535,7938,-1.0
1698841152.253138,8010,-1.0
