Wall time,Step,Value
1698849513.7525074,45,-1.0
1698849514.0357878,162,-1.0
1698849514.105752,216,1.0
1698849516.6398034,360,-1.0
1698849516.6617346,378,1.0
1698849518.3439887,405,-1.0
1698849518.417048,477,1.0
1698849520.7397602,504,-1.0
1698849521.110984,639,-1.0
1698849521.134415,666,-1.0
1698849521.555372,846,-1.0
1698849521.7047384,918,-1.0
1698849521.7309628,945,-1.0
1698849521.7422981,954,-1.0
1698849521.8777013,1017,-1.0
1698849522.0626783,1134,-1.0
1698849522.3828366,1251,-1.0
1698849522.8352344,1350,1.0
1698849522.966546,1395,1.0
1698849523.0494916,1422,-1.0
1698849523.2558587,1503,-1.0
1698849523.264866,1512,-1.0
1698849523.4953766,1602,-1.0
1698849523.6002984,1647,-1.0
1698849523.6535652,1665,-1.0
1698849523.6629882,1674,-1.0
1698849523.7716136,1710,-1.0
1698849523.958539,1782,-1.0
1698849524.3212967,1854,-1.0
1698849524.4042013,1863,1.0
1698849524.5779026,1908,-1.0
1698849524.8488486,2007,-1.0
1698849524.9926405,2061,1.0
1698849525.0854013,2106,-1.0
1698849525.164861,2133,-1.0
1698849525.517884,2241,-1.0
1698849525.7104747,2295,-1.0
1698849525.917987,2340,-1.0
1698849526.2833474,2403,-1.0
1698849526.4184124,2439,-1.0
1698849526.487597,2457,-1.0
1698849527.0688121,2628,-1.0
1698849527.241003,2673,-1.0
1698849527.248657,2682,1.0
1698849527.4093785,2727,-1.0
1698849527.5524905,2772,-1.0
1698849527.6200953,2790,-1.0
1698849527.8674805,2862,-1.0
1698849527.9376085,2871,-1.0
1698849528.4438126,2970,-1.0
1698849528.8300607,3051,-1.0
1698849529.1952007,3123,-1.0
1698849529.8224046,3267,-1.0
1698849530.0004175,3303,-1.0
1698849530.5236464,3393,-1.0
1698849532.3828967,3789,-1.0
1698849532.4403543,3798,-1.0
1698849532.9662812,3870,-1.0
1698849533.3576286,3951,-1.0
1698849533.4530315,3969,-1.0
1698849533.4842591,3978,-1.0
1698849533.5649743,4005,-1.0
1698849533.9311025,4059,-1.0
1698849534.3829594,4140,-1.0
1698849534.555696,4167,1.0
1698849534.6443446,4176,-1.0
1698849535.0967903,4266,-1.0
1698849535.8726373,4419,1.0
1698849535.959689,4437,-1.0
1698849536.9814658,4563,-1.0
1698849537.2012012,4608,-1.0
1698849537.297612,4626,-1.0
1698849537.4446287,4653,-1.0
1698849537.8230698,4725,1.0
1698849538.137251,4779,-1.0
1698849538.2121723,4797,-1.0
1698849538.4433606,4824,-1.0
1698849538.843369,4878,-1.0
1698849539.2591805,4923,-1.0
1698849541.4429357,5013,1.0
1698849543.8755853,5067,-1.0
1698849546.4939997,5121,-1.0
1698849548.0978906,5157,-1.0
1698849550.212916,5211,-1.0
1698849550.9790914,5229,-1.0
1698849552.4520304,5256,-1.0
1698849553.2199395,5274,-1.0
1698849553.5968285,5283,-1.0
1698849555.468676,5328,-1.0
1698849555.7748928,5337,-1.0
1698849559.4555352,5418,-1.0
1698849562.5849931,5490,-1.0
1698849564.5546372,5535,1.0
1698849566.6144903,5580,-1.0
1698849567.370379,5598,-1.0
1698849571.95874,5706,-1.0
1698849575.0882835,5769,-1.0
1698849575.432838,5778,-1.0
1698849576.0816534,5796,-1.0
1698849577.2663605,5823,-1.0
1698849577.944949,5841,-1.0
1698849582.5476828,5949,-1.0
1698849583.8499775,5976,1.0
1698849585.3384168,6012,-1.0
1698849586.399627,6039,-1.0
1698849587.5689788,6066,-1.0
1698849589.2035668,6102,-1.0
1698849589.6099374,6111,-1.0
1698849591.2938294,6147,-1.0
1698849593.4064212,6192,-1.0
1698849597.6837156,6291,1.0
1698849600.3521347,6354,-1.0
1698849603.9123054,6426,-1.0
