Wall time,Step,Value
1698855967.9382586,45,1.0
1698855967.9530978,54,-1.0
1698855968.0272357,99,1.0
1698855968.0682952,126,-1.0
1698855968.0790498,135,1.0
1698855968.1128685,162,-1.0
1698855968.123281,171,-1.0
1698855968.1382446,180,-1.0
1698855972.1495388,216,1.0
1698855972.3224177,324,-1.0
1698855975.039757,360,-1.0
1698855975.0677469,378,-1.0
1698855975.0936425,396,-1.0
1698855975.106187,405,1.0
1698855975.1774158,423,1.0
1698855975.2674477,477,1.0
1698855975.277944,486,-1.0
1698855975.288856,495,-1.0
1698855975.3448877,504,1.0
1698855975.360085,513,-1.0
1698855975.477646,567,-1.0
1698855975.5534732,585,-1.0
1698855975.5915904,603,-1.0
1698855975.5991828,612,1.0
1698855975.6778457,639,-1.0
1698855975.6919215,648,-1.0
1698855975.7500532,657,-1.0
1698855975.760058,666,-1.0
1698855975.903899,711,1.0
1698855976.0772622,756,-1.0
1698855976.1767986,783,-1.0
1698855976.1919398,792,-1.0
1698855976.3793938,846,-1.0
1698855976.5750566,918,1.0
1698855976.643678,945,-1.0
1698855976.6884623,954,-1.0
1698855976.8884404,1017,1.0
1698855977.0090535,1044,-1.0
1698855977.1133099,1062,-1.0
1698855977.444847,1125,-1.0
1698855977.453783,1134,-1.0
1698855977.5647147,1161,-1.0
1698855977.591966,1170,-1.0
1698855977.825113,1233,-1.0
1698855977.8734221,1251,-1.0
1698855977.9351737,1269,-1.0
1698855977.9465609,1278,1.0
1698855977.9843135,1287,-1.0
1698855978.2375536,1350,-1.0
1698855978.4382849,1395,1.0
1698855978.5118778,1413,-1.0
1698855978.523715,1422,-1.0
1698855978.772797,1458,-1.0
1698855978.9424038,1503,-1.0
1698855978.9881563,1512,-1.0
1698855979.1514916,1539,1.0
1698855979.5223007,1593,1.0
1698855979.5716066,1602,-1.0
1698855979.6629946,1620,-1.0
1698855979.7807395,1647,-1.0
1698855979.8888824,1665,-1.0
1698855979.9212887,1674,-1.0
1698855979.9690073,1692,1.0
1698855980.0420396,1710,-1.0
1698855980.0724661,1719,1.0
1698855980.2954836,1782,-1.0
1698855980.6080859,1854,-1.0
1698855980.6815531,1863,-1.0
1698855980.7840843,1872,1.0
1698855981.0244157,1908,-1.0
1698855981.5391042,1998,-1.0
1698855981.598406,2007,-1.0
1698855981.6883516,2025,-1.0
1698855981.8643563,2061,-1.0
1698855981.988802,2088,1.0
1698855982.003435,2097,-1.0
1698855982.0445461,2106,1.0
1698855982.1331165,2133,1.0
1698855982.6542683,2241,-1.0
1698855982.935081,2295,-1.0
1698855983.1293962,2322,-1.0
1698855983.216163,2340,-1.0
1698855983.2771666,2349,-1.0
1698855983.4368284,2367,-1.0
1698855983.6542268,2403,1.0
1698855983.8347788,2439,-1.0
