Wall time,Step,Value
1698855006.4786012,45,-1.0
1698855006.4875576,54,-1.0
1698855006.5414097,99,-1.0
1698855006.5715148,126,-1.0
1698855006.5800202,135,1.0
1698855006.6082432,162,1.0
1698855006.6173213,171,-1.0
1698855006.6271403,180,-1.0
1698855006.6640363,216,-1.0
1698855008.5052083,324,-1.0
1698855008.5412543,360,-1.0
1698855008.5581746,378,-1.0
1698855010.929073,396,-1.0
1698855010.938395,405,-1.0
1698855010.9601414,423,1.0
1698855011.0199604,477,-1.0
1698855011.059249,486,-1.0
1698855011.070237,495,1.0
1698855011.080582,504,-1.0
1698855011.0916693,513,-1.0
1698855011.199298,567,-1.0
1698855011.2163737,585,-1.0
1698855011.234745,603,-1.0
1698855011.244622,612,-1.0
1698855011.3364968,639,-1.0
1698855011.3472068,648,1.0
1698855011.3781955,657,-1.0
1698855011.411086,666,-1.0
1698855011.6132357,711,-1.0
1698855011.7850204,756,-1.0
1698855011.8728287,783,1.0
1698855011.9027634,792,-1.0
1698855011.9924679,846,1.0
1698855012.097805,918,-1.0
1698855012.1773076,945,-1.0
1698855012.1899064,954,-1.0
1698855012.3279567,1017,1.0
1698855012.4045932,1044,-1.0
1698855012.4284856,1062,-1.0
1698855012.5362806,1125,-1.0
1698855012.5491283,1134,-1.0
1698855012.6061072,1161,-1.0
1698855012.6185439,1170,1.0
1698855012.7602358,1233,-1.0
1698855012.8183596,1251,-1.0
1698855012.838845,1269,-1.0
1698855012.877626,1278,-1.0
1698855012.8900824,1287,-1.0
1698855013.0654306,1350,-1.0
1698855013.2083569,1395,-1.0
1698855013.233823,1413,-1.0
1698855013.3001957,1422,-1.0
1698855013.3768878,1458,-1.0
1698855013.559513,1503,-1.0
1698855013.587671,1512,-1.0
1698855013.7411146,1539,-1.0
1698855014.009895,1593,-1.0
1698855014.0193415,1602,-1.0
1698855014.07141,1620,-1.0
1698855014.137561,1647,-1.0
1698855014.1840532,1665,-1.0
1698855014.1926649,1674,-1.0
1698855014.2563,1692,-1.0
1698855014.3269784,1710,1.0
1698855014.3398678,1719,-1.0
1698855014.52746,1782,1.0
1698855014.7703366,1854,-1.0
1698855014.832865,1863,-1.0
1698855014.84137,1872,-1.0
1698855014.9634702,1908,-1.0
1698855015.2323542,1998,-1.0
1698855015.272083,2007,1.0
1698855015.306195,2025,-1.0
1698855015.466202,2061,1.0
1698855015.5822065,2088,-1.0
1698855015.6200788,2097,-1.0
1698855015.6433413,2106,-1.0
1698855015.8201401,2133,-1.0
1698855016.266682,2241,1.0
1698855016.495832,2295,-1.0
1698855016.5992239,2322,-1.0
1698855016.6480722,2340,-1.0
1698855016.6576836,2349,-1.0
1698855016.7112951,2367,-1.0
1698855016.8080077,2403,-1.0
1698855016.948748,2439,-1.0
1698855016.9890897,2457,-1.0
1698855017.1225958,2502,-1.0
1698855017.7276855,2619,1.0
1698855017.76445,2628,-1.0
1698855018.0203927,2673,1.0
1698855018.0421402,2682,1.0
1698855018.2583961,2718,-1.0
1698855018.2718217,2727,-1.0
1698855018.491824,2763,-1.0
1698855018.5318003,2772,-1.0
1698855018.5919054,2790,-1.0
1698855018.6717813,2817,-1.0
1698855018.797801,2862,-1.0
1698855018.855482,2871,-1.0
1698855018.8649428,2880,-1.0
1698855019.0586932,2925,-1.0
1698855019.1262963,2934,-1.0
1698855019.1360722,2943,1.0
1698855019.2564793,2970,-1.0
1698855022.601388,3051,-1.0
1698855023.4568381,3069,-1.0
1698855025.4279983,3105,-1.0
1698855026.246135,3123,-1.0
1698855028.6300063,3177,-1.0
1698855029.1903915,3186,-1.0
1698855031.7165434,3240,-1.0
1698855032.9411464,3267,1.0
1698855034.6264386,3303,-1.0
1698855036.2948456,3339,-1.0
1698855037.014916,3357,-1.0
1698855038.7705944,3393,-1.0
1698855039.1172526,3402,-1.0
1698855039.7037861,3411,-1.0
1698855040.5589018,3429,-1.0
1698855042.6161668,3474,-1.0
1698855044.8220198,3519,-1.0
1698855045.4607096,3528,-1.0
1698855045.8349426,3537,-1.0
1698855052.302176,3672,1.0
1698855055.4784312,3735,-1.0
1698855058.3809774,3789,-1.0
1698855058.7802794,3798,-1.0
1698855059.586759,3816,-1.0
1698855060.52811,3834,-1.0
1698855062.328975,3870,-1.0
1698855065.711801,3951,-1.0
1698855066.5981886,3969,1.0
1698855067.1943982,3978,-1.0
1698855068.4614482,4005,-1.0
1698855070.9909105,4059,-1.0
1698855074.4209414,4131,-1.0
1698855074.7826622,4140,-1.0
1698855075.8778868,4167,-1.0
1698855076.2239625,4176,-1.0
1698855077.8805673,4212,1.0
1698855079.7630794,4257,-1.0
1698855080.1248434,4266,-1.0
1698855084.766367,4365,-1.0
1698855085.750216,4392,1.0
1698855086.191189,4401,1.0
1698855086.8536398,4419,-1.0
1698855087.734248,4437,-1.0
1698855088.7656803,4464,-1.0
1698855093.1097472,4563,-1.0
1698855094.8995535,4608,1.0
1698855095.778931,4626,-1.0
1698855096.7798896,4653,-1.0
1698855097.6767173,4671,-1.0
1698855099.500657,4716,-1.0
1698855099.7765424,4725,1.0
1698855102.0184703,4779,-1.0
1698855102.647867,4797,1.0
1698855103.1591096,4806,1.0
1698855103.8011632,4824,-1.0
1698855104.1688519,4833,-1.0
1698855105.469057,4860,-1.0
1698855106.1312997,4878,-1.0
1698855107.99322,4923,-1.0
1698855108.5847137,4932,-1.0
1698855108.8831527,4941,-1.0
1698855111.6802635,5013,-1.0
1698855112.449258,5031,-1.0
1698855113.9137492,5067,-1.0
1698855114.2666385,5076,-1.0
1698855114.760919,5085,-1.0
1698855116.1067212,5121,1.0
1698855117.8437598,5157,-1.0
1698855118.121408,5166,-1.0
1698855119.397053,5193,-1.0
1698855120.0561492,5211,-1.0
1698855120.6000729,5220,-1.0
1698855120.9228485,5229,1.0
1698855121.2343662,5238,-1.0
1698855121.6119232,5247,-1.0
1698855121.9427717,5256,1.0
1698855122.807289,5274,-1.0
1698855123.1459582,5283,1.0
1698855125.105199,5328,1.0
1698855125.4126983,5337,-1.0
1698855127.0111933,5373,-1.0
1698855128.2706053,5400,-1.0
1698855129.1686978,5418,1.0
1698855131.9158454,5472,-1.0
1698855132.7322397,5490,1.0
1698855134.751813,5535,-1.0
1698855136.2152803,5571,-1.0
1698855136.5778599,5580,-1.0
1698855137.501011,5598,-1.0
1698855142.6640134,5706,-1.0
1698855145.9024966,5769,-1.0
1698855146.2732527,5778,-1.0
1698855147.2374084,5796,1.0
1698855147.5702915,5805,1.0
1698855147.9055305,5814,1.0
1698855148.358908,5823,1.0
1698855149.1374567,5841,-1.0
1698855150.1456404,5868,-1.0
1698855151.6437654,5904,1.0
1698855152.08159,5913,-1.0
1698855153.465374,5949,-1.0
1698855154.8633082,5976,1.0
1698855156.3243513,6012,-1.0
1698855157.4131787,6039,-1.0
1698855157.8158548,6048,-1.0
1698855158.4684699,6057,-1.0
1698855158.8537486,6066,-1.0
1698855159.185548,6075,1.0
1698855160.1685905,6093,-1.0
1698855160.4848866,6102,-1.0
1698855160.8103945,6111,-1.0
1698855161.9033954,6138,-1.0
1698855162.3397307,6147,-1.0
1698855162.636288,6156,-1.0
1698855163.338112,6174,-1.0
1698855164.1629696,6192,-1.0
1698855164.6269836,6201,-1.0
1698855167.3174968,6264,-1.0
1698855168.4366958,6291,1.0
1698855169.1666377,6309,-1.0
1698855169.9999,6327,-1.0
1698855171.0621717,6354,-1.0
1698855171.9079933,6372,1.0
1698855172.569425,6390,-1.0
1698855174.2452939,6426,-1.0
1698855175.878451,6462,-1.0
1698855177.0891237,6489,-1.0
1698855177.5914037,6498,1.0
1698855177.939431,6507,-1.0
1698855178.2912824,6516,-1.0
1698855180.618939,6570,1.0
1698855182.960725,6624,-1.0
1698855183.6141286,6642,1.0
1698855183.919291,6651,-1.0
1698855184.2436802,6660,1.0
1698855185.4044356,6687,-1.0
1698855186.793002,6714,-1.0
1698855187.1982677,6723,1.0
1698855188.4302378,6750,-1.0
1698855188.7703657,6759,-1.0
1698855189.1670713,6768,-1.0
1698855189.7930925,6786,1.0
1698855190.775088,6804,-1.0
1698855193.2639565,6858,-1.0
1698855194.3780336,6885,1.0
1698855194.9228504,6894,-1.0
1698855196.0621018,6921,-1.0
1698855196.6578326,6930,-1.0
1698855197.0283206,6939,-1.0
1698855197.7366216,6957,-1.0
1698855198.196485,6966,-1.0
1698855200.770947,7020,-1.0
1698855202.3146417,7056,-1.0
1698855202.7304347,7065,-1.0
1698855203.5720277,7083,-1.0
1698855204.5184119,7101,-1.0
1698855205.2833178,7119,-1.0
1698855205.6739848,7128,-1.0
1698855206.193939,7137,-1.0
1698855206.533001,7146,1.0
1698855207.004734,7155,-1.0
1698855208.344357,7182,-1.0
1698855209.1855838,7200,-1.0
1698855210.1464005,7218,1.0
1698855211.117176,7245,-1.0
1698855212.1726174,7263,-1.0
1698855212.5573888,7272,-1.0
1698855212.9572177,7281,-1.0
1698855215.7478578,7335,1.0
1698855216.0818439,7344,-1.0
1698855216.7846143,7362,-1.0
1698855217.967536,7389,-1.0
1698855219.777439,7425,-1.0
1698855221.166608,7452,-1.0
1698855222.3484085,7479,-1.0
1698855222.9017646,7488,-1.0
1698855223.6289806,7506,-1.0
1698855224.2591257,7524,-1.0
1698855225.1834717,7542,1.0
1698855227.1297462,7587,-1.0
1698855228.1574342,7614,-1.0
1698855229.0102088,7632,-1.0
1698855230.0833232,7659,1.0
1698855233.309367,7731,-1.0
1698855234.9004164,7767,1.0
1698855236.6360939,7803,-1.0
1698855237.3385046,7821,-1.0
1698855237.7450936,7830,-1.0
1698855239.3169682,7866,1.0
1698855240.0588963,7884,1.0
1698855240.6284907,7893,-1.0
1698855241.7505717,7920,-1.0
1698855242.6510596,7938,1.0
1698855243.3453612,7956,-1.0
1698855244.5839293,7983,1.0
1698855245.350445,8001,1.0
1698855245.6749194,8010,-1.0
1698855246.4191198,8028,-1.0
1698855248.056414,8064,-1.0
1698855249.942291,8100,-1.0
1698855253.1474173,8163,-1.0
1698855253.5065165,8172,-1.0
1698855253.896831,8181,-1.0
1698855254.2170346,8190,1.0
1698855255.0849807,8208,-1.0
1698855256.296052,8235,-1.0
1698855256.5764737,8244,-1.0
1698855257.054426,8253,-1.0
1698855258.2116933,8280,-1.0
1698855258.5866551,8289,-1.0
1698855259.0882819,8298,-1.0
1698855259.4163315,8307,-1.0
1698855262.6429982,8379,-1.0
1698855263.181038,8388,-1.0
1698855264.4312482,8415,-1.0
1698855267.201733,8478,-1.0
1698855268.1841793,8505,1.0
1698855271.0770392,8568,1.0
1698855271.4214585,8577,-1.0
1698855271.7482035,8586,-1.0
1698855272.5832393,8604,-1.0
1698855273.0230086,8613,-1.0
1698855273.4427183,8622,-1.0
